{0.00033562718778993374, 0.0003549526911376688, -0.0040324441925060715, 0.00037508059695800096, 0.0006908217010016389, 0.2491951376350074, 0.0007600622576869414, 0.0005880912540506762, -0.0012809290523729494, 0.0006110597250599576, 0.0006403524359262127}	{-0.000018664673990142315, -9.97170224295419*^-6, -0.000019153272521845993, -1.7063073796885525*^-7, -0.000016822418366772604, 0.0004505700165331663, -0.004466603435847942, 0.00033528328749403706, -0.000021225181211211395, -0.000012804409721861071, -0.00002211097221773471}	{0.0003452980017294026, 0.00036006086241964497, -0.004774369641141875, 0.00043997430080981926, 0.0004118967505899901, 0.270949815467456, 0.0006503929868941422, 0.0005665129076422937, 0.00024126811993017896, 0.0006205397144886185, 0.0006484468686895735}	{-0.0002874991736069493, -0.0003326624623959874, 0.0001534671837818966, -0.00037506962941550654, -0.0003821045358228955, -0.33383629103183887, -0.0004799761735982014, -0.000510431882524996, -0.003122421779840302, -0.0005546001873188274, -0.0005771349507449623}	{0.0005724906056068494, -0.00007216290096709857, -0.000027429914030182367, -0.00017399670621675412, 0.4066380626193569, 0.00004764753896415593, -0.00004502838732978459, -0.000041072005651326204, -0.0010860239690809745, -0.00005437539767225297, -0.000049386650664074416}	{0.00034054432814555643, 0.00035875541293333416, -0.0037589017359725644, 0.00041803713291460186, 0.0004126608067207177, 0.24431262277487906, 0.0005736464750097342, 0.0005451514131014158, -0.0015394880474334498, 0.0005996238313180479, 0.0006351562803239349}	{0.00010822032705604521, 0.00008919751100925624, 0.0022421073170060314, 0.0001381468153196319, 0.00002670029241583886, 0.38786540377548995, 0.00025607119123086537, 0.00017948966639615518, -0.0013047056078035106, 0.00019448044247733997, 0.0002070799880617846}	{0.0002732536936696599, 0.0003246040333744246, 0.0018768944809980839, 0.00041787502315218, 0.0000767113882970054, 0.1776734528661082, 0.0001962124310696437, 0.0004925000989127797, -0.0011878309768843366, 0.0005099298220692719, 0.0005370954006402973}	{-0.00031850554232688074, -0.00032275454038921116, 0.0012204454585633448, -0.00038199152258688765, -0.0004914460148817531, -0.21168803533580297, -0.0005243439976821745, -0.0005055622266516193, 0.0022349610292888367, -0.0005695815269971024, -0.0005900683965026636}
{0.0005532895300249466, -0.00019526907777793888, -0.00020050938734582753, -0.00018649660174247112, 0.25681901463735163, -0.0001842728988411359, -0.00022278033133002278, -0.00023688261485248444, 0.0014545316583214367, -0.0002654115992949776, -0.000273693882489215}	{-0.0005054849587136014, -0.00036732382719014984, -0.00043867138647165244, -0.0004132896172613513, -0.29464816443958114, -0.0005563057033994532, -0.0005510710237341226, -0.0005905324594966809, 0.001473151637296866, -0.0006447858618347945, -0.0006704448155380346}	{-0.0004063923981886234, 0.00037694191318816104, 0.00043168074079859737, 0.00042799762188760896, 0.2542742913325645, 0.0005515340262868242, 0.0005488345042063429, 0.0005909958238121865, -0.001018732956668538, 0.0006485039013950227, 0.0006512371074773621}	{-0.0003209301026428909, -0.00036397474350506723, 0.003526022082875199, -0.0004119996616934735, -0.00044647847946187536, -0.3060912849271112, -0.000514804735745077, -0.0005587190027592933, -0.0028838191446169674, -0.0006032089582485403, -0.0006361302458976507}	{-0.00033726512865182867, 0.004163847647391403, -0.0003196306103320038, -0.24215723856967808, -0.0003663008943435225, 0.0018246533344062517, -0.0005323334458740441, -0.0004518962812905128, -0.0005906374839381662, -0.0006099787764887574, -0.0006457741267417687}	{0.00028099330010883237, 0.00031225966207819555, 0.0017438081140278457, 0.00034915274053894785, 0.0003926839475757856, 0.1792300648760465, 0.0004899580673904013, 0.0004504162289393275, -0.0012632099241323266, 0.0005068267595354634, 0.0005431956404734798}	{0.00107843166193279, 0.00015929035335740798, 0.00014957844039106, 0.00019980992524541274, 0.0739396355818757, 0.00022055087282882326, 0.0002158592353535618, 0.0002382962700761396, 0.0021141666118253345, 0.00026087581833261335, 0.00026370881433543}	{0.00020877385964541002, 0.00024185851806407248, 0.005129865480986692, 0.00026124938690959157, 0.00035433336713370383, 0.12281203607566057, 0.000425179294551248, 0.00034179975540221804, 0.0019157226730970966, 0.0003854981931489485, 0.0004133742322466256}	{-0.00003790520371172649, -5.700356687777335*^-6, -0.0008954502311202787, -0.0000262048810667811, -0.000021938324013268594, -0.010892386373060564, -0.000039720766968178874, -0.00003461858060243897, -0.000666821625220403, -0.00005000090985677245, -0.00003874164450631356}
{0.00009475299528457473, 0.0013018317527929972, 0.00007174922206152152, 0.3922346751356814, 0.0002550215120718177, -0.0030366501250660904, 0.00018358090648862207, 0.00016095515878357728, 0.00020359568321990217, 0.00020338155047613227, 0.0002177296306810883}	{0.00006887997782008954, 0.00006735813181513525, 0.00006502442293359597, 0.3958614400656145, 0.00019602739309118117, -0.0018205282143858215, 0.0001495719214088867, 0.00007723673818988002, 0.00016654057343495882, 0.00017129987431495328, 0.00017612942997011658}	{0.00010944812765744035, 0.002462059549711751, 0.00009512442762769861, 0.38801951696634235, 0.0002840923242419376, -0.0039026441464846432, 0.00021125233096917496, 0.0002657391208893592, 0.00023737929809828154, 0.00023599802051472966, 0.00025774694335050366}	{0.000051051746509692945, -0.0008418398271251255, 0.000016655028586480933, 0.398150860575045, 0.00022218323835036907, -0.0007867876078465419, 0.00012572679742941414, 0.000025354517534010762, 0.00013893357269132852, 0.00014274704393448515, 0.00014203099344796663}	{0.00026876781595090954, 0.00174883039040335, 0.0003195337444391825, 0.32880161129875146, 0.00047109863129279406, 0.004081878324089982, 0.0004629006804109666, 0.0004417174601625901, 0.0005073424046786526, 0.0005158934031284575, 0.0005578414200485169}	{0.0006861144733778398, -0.00018280388395454044, -0.00019534940307397184, -0.0002040270120494615, 0.2474119465884305, -0.00016480659076507687, -0.0002179850440957099, -0.00022533485520018437, 0.0012248143640140171, -0.0002602256380960055, -0.0002673989185241998}	{0.00012145233220310892, -0.0003159519588874349, -0.0003843635205874422, -0.0003112450793264426, -0.17832068272320117, -0.0004441973568171324, -0.000465851978196353, -0.0004909290351897266, -0.00139643757643198, -0.0005328844713162412, -0.0005713601202633198}	{-0.0003066229989500368, -0.0003093292063365676, -0.00009090663590769654, -0.0003730308835820982, -0.00039619786790893725, -0.1973301871429714, -0.000558809993858238, -0.0005030333033498827, 0.0019800244187689426, -0.0005486259265287193, -0.0005673274102463532}	{-0.00033610822940983537, -0.00034514687752082066, 0.0032599865397244083, -0.00045481986310397964, -0.00025089354785750044, -0.2365834606537057, -0.0005470414923086428, -0.0005440333435800323, 0.0018561126337226237, -0.0005935673676749531, -0.0006174827360525526}
{-0.0008027966812511366, 0.0001191689206689222, 0.00017935210029087798, 0.00008511741752695304, 0.39858847307369766, 0.00026526543565016, 0.0002118562578332779, 0.00023794434485685032, 0.002278229783115934, 0.00025460626238981603, 0.00026692733497664806}	{-0.0002947353603443947, 0.00018573916798653997, 0.0002544905023637363, 0.0001635012974603971, 0.3871400684598656, 0.00034759151144380865, 0.00030496658460230986, 0.00033646122083756186, 0.002292863127053494, 0.00035494021976924424, 0.00038438248207902124}	{-0.00009321757014867197, 0.0002020300686847371, 0.0002683271687855898, 0.0001862210814586944, 0.38346008743952065, 0.00037107663759278014, 0.00032285853852241154, 0.0003598502814854539, 0.002163757566085517, 0.00038159976612655097, 0.00039939671020729705}	{-0.0006336469637558222, 0.00004453721769864922, 0.00009475922297560333, -1.8640789883661678*^-6, 0.4061003359977989, 0.0001629638398660323, 0.00012025868038455435, 0.00013002860178380646, 0.0013542562845296415, 0.00013424830392238032, 0.0001227045684546416}	{-0.00044037695586489925, 0.0001688002145499834, 0.00023992338730024525, 0.00015834690660069517, 0.38980708620362226, 0.00032630375092972705, 0.00028676247213225433, 0.0003147090962225099, 0.0023561019554494403, 0.0003375877899158761, 0.00036100261231635005}	{0.00020957609683658492, 0.00022318526645068775, 0.00028694373984503225, 0.0002094701457197504, 0.37787139219836896, 0.000396114353522345, 0.00035978961489273054, 0.0003881495569894524, 0.001898918816293656, 0.00041626121056495194, 0.0004338631438649764}	{0.000540921939035526, 0.00037161337928993086, 0.00042904561951333334, 0.0003912095417772819, 0.2961960985249222, 0.0005890363982235662, 0.0005485490946552008, 0.0005943387634631584, -0.0014763768422611004, 0.0006424232499873378, 0.0006682592615567191}	{-0.0000394942471521033, -0.0001040069776749943, -0.0006052399016308636, -0.00009773183957396527, 0.00004065569581011134, -0.3887436088904209, -0.0002546455346284404, -0.0001283378886619769, 0.00023112439972757567, -0.00014753078542829434, -0.00016549628537636759}	{-0.0003374917793496717, -0.0003470218185336039, 0.0038736976750874865, -0.0005375889470043652, 0.00008201572452473359, -0.2460424904772532, -0.0006175707818253275, -0.0005773250663167296, 0.0014388740920517654, -0.0005916168430802852, -0.0006355178736306489}
{0.00019481833668300863, 0.00017415602748017912, 0.005364127219752822, 0.00022839294155167368, 0.00020131000004237, 0.37716394648761603, 0.0003511811729881389, 0.00031276965474142683, -0.0022271867529317342, 0.00034449130710159295, 0.00035983768033083394}	{0.00017153240461691437, 0.00015201348498639113, 0.004958770893118498, 0.00020169693461900273, 0.00016432096314106506, 0.3814719815933582, 0.000310823434877883, 0.0002758062626873378, -0.0024945773094176174, 0.0003054634674406628, 0.0003134776220684574}	{0.00019421741701880347, 0.0001797349014798288, 0.0053666383166488495, 0.00025110441888915946, 0.000270123936298261, 0.3769516053850506, 0.00027551984400548806, 0.00030824808670623877, -0.002208014445095824, 0.0003428071892113414, 0.00036062721587843283}	{0.0002532345378352945, 0.0002376646451485545, 0.004334649742456073, 0.00030959823209795073, 0.0003148313309361395, 0.36235222659038857, 0.0004277654555312079, 0.0003931803911420647, -8.48466843604324*^-6, 0.0004321244004939203, 0.0004621691499719469}	{0.0002560972097407652, 0.0002442957869158877, 0.004052814602967713, 0.00030778377474454484, 0.000274172905945249, 0.36029979046750327, 0.00043785017876642337, 0.00041038750250705687, 0.00032311954483883705, 0.0004465652987466171, 0.00047424093263283875}	{0.00030302257601906736, 0.0002976871900127135, 0.0008356268603646914, 0.00036323004990338755, 0.000329547284925855, 0.3402519154181758, 0.00048637158045700227, 0.00048514924555073186, 0.00273950642569926, 0.0005331353328125227, 0.0005550962076378908}	{0.0001883577985050841, 0.00016803277891556975, 0.005306419408500408, 0.000225538275694894, 0.00019383801065980526, 0.37833000159592756, 0.0003376937562323015, 0.0003055694530684362, -0.0023347148549926087, 0.00033505271343064644, 0.00035214046960096757}	{0.00035267192932220126, 0.0003714555457159071, -0.004779467016773353, 0.0004053098353544536, 0.0003981764955330079, 0.2736702936237001, 0.00038608192127468494, 0.0005390228516847228, 0.0004632783945312994, 0.0006165257520605824, 0.0006537862220987239}	{0.00021242731953467097, 0.00025412356065172256, 0.004976969891650327, 0.00029360324737995374, 0.00025876915383350724, 0.12797208027803733, 0.00031481931112594975, 0.00036910918675533787, 0.001657418143943519, 0.00039395070627729794, 0.0004242876081369566}
{0.00007273189404016001, 0.0001867120506625527, 0.00017845561744850403, 0.00019747832814891435, 0.00022933285968339883, 0.0003563364690773362, 0.3486413152358416, 0.0002140348634650569, 0.00031049320144266546, 0.0003327760026181568, 0.0003421429780336443}	{0.000488321895965149, 0.0002837880862279726, 0.00033211847294564983, 0.0003084084377433041, 0.0003508019591036281, 0.00031167810660058233, 0.32464536656850357, 0.0005289051706489013, 0.00046076141290585324, 0.00048406775819321744, 0.0004907922362633298}	{-9.179912510957145*^-6, 0.00016706672155374915, 0.0001518095222507929, 0.00016874274730742673, 0.00020252113618316153, 0.0002810271665395775, 0.351040131239826, 0.00023155611120020847, 0.00027954382260761076, 0.0002976698273717496, 0.00030391032974639963}	{0.0002483859867661903, 0.0002330285907560341, 0.00023970744573696, 0.00023954219857286174, 0.00027885376274520686, -0.0002801340977586556, 0.3424568628523775, 0.0007436736508902162, 0.00036364660957089573, 0.0003996697151636472, 0.00039235599354710276}	{0.0001399995533745886, 0.00021006981453645422, 0.00020653112105515606, 0.00021548723768144144, 0.00025383804299650397, 0.00041101324662726923, 0.346611538487308, 0.00011862179693837173, 0.0003295150110440243, 0.0003539818726247006, 0.00036517566187218545}	{0.00039836786026945664, 0.0002577335049307367, 0.00030137749223741736, 0.0002757115961660937, 0.0003218620464457021, 0.0011216376091863652, 0.33451513759578766, -0.000613346174428053, 0.00041052165799104106, 0.00044638590582555334, 0.0004401975250877756}	{-0.00018508950416031597, -0.00017704039576441072, 0.00175322340294799, -0.0001787527179888838, -0.00028923623693431007, 0.32299207345864367, -0.0002949713423837899, -0.0002568109173757001, -0.0030618354704524476, -0.00027205366165705577, -0.00029143191416917063}	{-0.000056439134483589324, -0.00004176770648776157, -0.00003896930984429591, -0.000034179987521391984, -0.00002178580083132534, -0.002102822035456031, -0.009004966859398297, -0.0015353482052049658, -0.00002050343127764741, -0.000038977041857288634, -0.00005011884759691497}	{0.0005040544549570219, 0.0003183216390611625, 0.00033990834533792225, 0.00034478050986898404, 0.00036127392995746933, -0.00103305415695939, 0.3217336206906397, 0.0008370447572228593, 0.0005061836312514389, 0.0005121207767196251, 0.0005044463763590482}
{0.00011717053805661331, 0.0001324625800608512, 0.0001227315293545142, 0.00016519561644798725, 0.00028562611243506243, 0.0006109516049620205, 0.00027938540742714757, 0.3056703169621112, 0.00014257312165433266, 0.00001886886215627748, 0.00021652024720663195}	{0.000253134467098061, 0.00010271455388788213, 0.0002118365001849197, 0.0003759647285250047, 0.0004358194450257213, 0.01268151958308471, 0.1583310022658113, 0.01696084259942089, 0.0008194450225785958, 0.0004519203930571433, 0.00041064814220043963}	{-0.00016373863104666024, 0.00006924594378322477, 0.00006383460059287553, 0.00009828946394428718, 1.7923670913326956*^-6, 0.007255081703514256, -0.09004842592245971, 0.00659500744389241, 0.00006169811616580953, 0.00010796965748327854, 0.00012003219624064485}	{-0.00010134292240438386, 0.00009990324433760529, 0.00005473392986379209, 0.000019619245027104936, -4.018632494590239*^-6, -0.00647547307321127, -0.3376738263346087, 0.005251366641982166, 0.000048393545810477885, 0.0000312869594946272, 0.0000453350520305029}	{-0.0001455980566413111, 0.00001909474658023237, 0.00009283494726374158, 0.00003081140636126058, 0.00008187528830148033, -0.004110061545344041, 0.35231911455717224, 0.0034964464434323974, 0.0001479782952914459, 0.00014700450106233383, 0.00012430204557672183}	{0.00033693957617747186, 0.0003392326401929934, -0.0024954040463803892, 0.000430134274890413, 0.00042633461551257917, 0.3166558841864344, 0.0006402985903391285, 0.0005383339370252577, 0.003284664506424813, 0.0005946038486127123, 0.0006134661934756443}	{0.00018771620548456439, -0.000053077930849884376, -0.00008992099659554526, -0.00006141235320560704, -0.00009754015066017238, 0.004342087088673933, 0.0625777143494585, 0.0036759235568229252, -0.00009456581641887658, -0.00008079772401232742, -0.00010458807797766502}	{-0.0004196432511760039, -0.0002367866858566839, -0.0002964804332819279, -0.0002807157539740954, -0.0003115090827788578, -0.001645268804118651, -0.33455485608817825, 0.0010201806104510897, -0.00042644222654751753, -0.0004480765419713057, -0.00044447897236238966}	{-0.00019658341333239008, -0.00018202062573220042, -0.005386457282032705, -0.00022466141305482477, -0.00009534045735388242, -0.09756839073437604, -0.00020943441339489214, -0.0003001761923069348, -0.0028216370318456373, -0.00032974515196364056, -0.00033307744335303385}
{0.00027051162340146714, -0.00017899863314351088, -0.00016257413970556075, -0.0002642988467487217, 0.38499225935469983, -0.00013694042752797423, -0.00020332470221287377, -0.00020976019865992832, -0.0021288665565114733, -0.0002391819379065993, -0.0002668526046256858}	{-0.0000260557645888335, -0.00003667698116588281, -0.00451977823161264, -0.000034814282472546055, 0.000023837522188209346, 0.3828448687882968, -0.000028393782584937534, -0.000014737279428262558, 0.00272770911863882, -0.000030401369915360932, -0.00003357362613705226}	{0.0001571235397644581, 0.0001352048009946002, 0.004614624825456259, 0.00020771317467756763, 0.00020569561740898046, 0.3832123163193565, 0.00022871050245973365, 0.00022300028260836127, -0.0024694123703679813, 0.0002824010073154056, 0.0002961705499395599}	{-0.00033814486242343347, -0.00036558956705581353, 0.004693683765994436, -0.0004317994867169601, -0.0003779854806234191, -0.26566265036450787, -0.0005389367240486645, -0.0005557721495227164, 0.0001655891547386138, -0.0006126713124564523, -0.0006436580589865642}	{-0.00004271295585495344, -3.613195059936239*^-6, -0.0009425763920627912, -0.000043640083287165686, -0.000030645191814726316, -0.011442475212525421, -0.000031526728885963755, -0.00003871783452464122, -0.0006939476114297535, -0.00004886754295930453, -0.00003803383885914593}	{0.0003417040159904999, 0.00035989541222984, -0.004380558118362148, 0.00042302284242976164, 0.0004197695070973972, 0.25628174488152605, 0.0005655868186271524, 0.0005544428602491299, -0.0008369521035479756, 0.0006082966831347037, 0.0006421450375611262}	{0.0003484736499525785, 0.0003596367476168153, -0.004670631804840608, 0.000416183424898899, 0.00040215175093498613, 0.28551760064367, 0.0005180713139015718, 0.0005569179642331862, 0.0014352933047622383, 0.0006203733063249055, 0.0006526210857125122}	{0.0002692092592976381, 0.0003050774802920061, 0.0023120302390585066, 0.00036999083873004874, 0.0002843784895477958, 0.17240411961675964, 0.0003629768304455399, 0.0004624254572987175, -0.0009108565855924755, 0.0005000713770791897, 0.0005238500582154289}	{-0.000053433062098614745, -0.00002531277783067492, -0.0014506213945312905, -0.000013415094458123153, 5.202811864140957*^-6, -0.01773688462833198, -0.00005917341758160229, -0.000031699434752488176, -0.0010648364643423883, -0.0000767585878152499, -0.00006730316347524958}
{0.0003371663272694843, 0.00035985968548907324, -0.00424393789363097, 0.0004060930829520285, 0.0005218094029877336, 0.2530879884273043, 0.000637139628486615, 0.0005837543866117471, -0.0010509943618382432, 0.0006100449997964661, 0.0006434131365165055}	{-0.0003578048380517355, -0.00014029320985737306, -0.00015753595965837676, -0.00021831014993738745, -0.00012976804933462256, 0.0009274050086058071, -0.07217811537056995, 0.000040579207437756383, -0.00011755962003811076, -0.00021832068154272843, -0.00024429369696258793}	{0.0006763957332220101, 0.00025743973060691675, 0.0002745613355032983, 0.00033659875608411894, 0.13310941240671179, 0.0003945266569469965, 0.00037256922571438545, 0.00040086787665255384, 0.0023467575140878726, 0.0004359136873748966, 0.0004324283876391819}	{-0.0002226336433980991, -0.0002736843283434478, -0.003907706737998677, -0.00031257521671100493, -0.0002909041679150241, -0.3591396561807068, -0.00042490543619899104, -0.0004214922723571684, -0.00048573003972629075, -0.00045104136967160204, -0.00047691214240881376}	{0.0007956771195050353, 0.0002646181017864649, 0.00033192879674803186, 0.00030174483712801074, 0.36499482476041983, 0.0004410396755339684, 0.0004198670843587443, 0.00044755819672237507, 0.001163213388900424, 0.0004847172732159964, 0.000491025890939203}	{0.00034420964986599267, 0.00035876392783315694, -0.0043406515098899584, 0.0004279188987195077, 0.00035808149954181905, 0.2553354261089868, 0.0004953401585713767, 0.0005379913353884424, -0.0009029742697181328, 0.0006048973122283493, 0.0006386503901829651}	{0.0004264504052694319, 0.00004948758695543785, 0.00003214599635998728, 0.00007363753944612343, 0.02205730401533252, 0.00006309023242135921, 0.00006614434788218799, 0.00007096588951495716, 0.0007403156961263866, 0.00008503986349326925, 0.00008524777184501776}	{0.0003410550935640329, 0.0003732343500340478, -0.0045436712472148475, 0.000383049139741491, 0.00041293519112607565, 0.2607379263527011, 0.00023182318730583835, 0.0004958703893382173, -0.0005315611739104637, 0.0006091458762340386, 0.0006489527675934034}	{-0.0006310164662972957, -0.00009302769409411296, -0.00011454627309617542, -0.00010964997367662599, 0.12611999200031987, -0.00011907407495178613, -0.00009174410969820177, -0.00010771070234091033, -0.002119660645975462, -0.00013411700268992899, -0.000121191569989934}
