{0.00025511894956916704, 0.00026462525504103803, 0.0029763184109602393, 0.00019916123185836733, 0.000032661862826218104, 0.2989535192650831, 0.00011897589810798181, 0.00029501569451655715, 0.0023583352168880236, 0.00024351921008638265, 0.0002498452672036242}	{-0.0000524265429764041, -0.0002828206087102438, -0.0003190429716087161, -0.0003045438525071095, -0.0002814333540622393, -0.0010632934837060152, 0.3532254090247173, 0.00038365077218595475, -0.0002596877225071791, -0.0002335693051032448, -0.0002325698909703251}	{0.00034146908545161, 0.0003635411911225739, 0.000859625199310164, 0.00032644613899066467, 0.00021722237213518843, 0.279503138691583, 0.0004029774629171288, 0.00032162111186022184, 0.003116045489850223, 0.00030923890200811006, 0.00032163519561541153}	{0.0005558749824167705, 0.0005331208122188708, -0.004651383882302678, 0.000520094223233107, 0.0005274627824289278, 0.2003278789434133, 0.0005363184625905047, 0.0005015183201506822, -0.0005803820273987522, 0.0004812638321539398, 0.0004736323890642421}	{0.0007136884865802314, -3.340439153641763*^-6, 4.155865114519591*^-6, 0.000015055703978630099, -0.034924334626839484, 1.9674611384659804*^-6, -0.000017543391553120108, -0.000014882729345283284, 0.0018150155027372005, -0.00001114807729359983, -7.182330442609899*^-6}	{0.0002342644603719392, 0.0002577320300356697, 0.003373377988161321, 0.00023066974951696398, 0.00017851896501362968, 0.30292563748872214, 0.00029781119447882187, 0.00023215101890230845, 0.0020750028186294848, 0.00022238880148212794, 0.00022957400319581538}	{0.0003289916953026594, 0.00032724488887028697, 0.0050396662095256025, 0.00029707678847535143, 0.0003419133336632868, 0.027753974830176, 0.0003463671647733608, 0.0002789037385465081, 0.0026490327125174283, 0.00027281785768309166, 0.00027106560371118854}	{-7.698593860068212*^-6, 9.995382874434373*^-6, 0.004957974922656416, -0.000017265410611752405, 0.0001566601840398642, 0.34591393665416, 0.00017751859697489187, -0.000028947687030534577, -0.0021979427378343136, 5.569817848182435*^-6, 0.000032329427889755395}	{0.0001289390514042061, 0.00009689336383470808, 0.005046287591392266, 0.00013162873034035908, 0.00011402608087245871, 0.3264072254620527, 0.00007232186834697533, 0.0001374769852549472, -0.0001800446328625586, 0.00012929353411651013, 0.0001226167056894944}
{0.0003463920162352347, -0.00028479361665331276, -0.00026420463882846125, -0.00026720073862716734, -0.3174107149838417, -0.00028380289490856933, -0.00028498470237540557, -0.0002965985074963871, 0.0009523560884829305, -0.0002720351686236295, -0.0002631553451445508}	{0.0014006884940620853, 0.000439353262085203, 0.00046353504684971725, 0.00037486373066663605, 0.2834413958021848, 0.0004722195340178958, 0.00042910355611996205, 0.000436217413622091, 0.0001570675615447518, 0.00040466439931305414, 0.0004110092231712531}	{0.0008942861913329348, 0.00030136686265515945, 0.00027679288780097834, 0.0002841164317042663, 0.3200292061562796, 0.0003450019430326826, 0.0003070645690977043, 0.0003034771648096355, 0.0016285127970964682, 0.000290080411931579, 0.0002662612080691081}	{0.0004946342663107143, 0.000467203186494315, -0.0029642868300954295, 0.00045936976597028633, 0.00047341261977556327, 0.24065088618335, 0.00045520718592376066, 0.0004489596361409663, 0.0020594834258251607, 0.00043354555620217966, 0.0004237495751313546}	{0.00029056621054368787, 0.0014095815628079797, 0.0003744676941247438, 0.32626012576319396, 0.0003586361884493377, 0.004144263821615538, 0.00026595285466482504, 0.0002587557957727518, 0.0002689147929750895, 0.000252959967895845, 0.00025092223788945195}	{1.0669010411618214*^-6, 0.000020423512518910433, 0.005002501518870468, 9.29516461234564*^-6, -0.000024902072538286734, 0.3451340876904797, 0.00006339763005696891, 0.00002715042908621955, -0.002127909264371903, 0.00002217209748421508, 0.000031654575180403705}	{-0.00016851319633481735, -0.000296638500912879, -0.0003046943646744786, -0.00031153301461000305, 0.40121387106173517, -0.00020443804016429082, -0.00024446429567617686, -0.0002236542376061416, -0.0012177076083042053, -0.00022939187641013277, -0.0002447173506287509}	{-0.0001705601033393845, -0.00014413921947902057, 0.0016306145326534709, -0.0001416687767918645, -0.00020745468277839798, 0.36874690286265327, -0.00009764405605262301, -0.00013044898406504337, -0.002448493535348052, -0.00012700746645608984, -0.00010507901177607976}	{-0.0003550236474834164, -0.0003627495532081233, -0.005473218885246768, -0.0002775973128952905, -0.000667034985907314, 0.38822137737830636, 4.95353655490106*^-6, -0.00035403527188539684, 0.0024622278474665366, -0.00028077647414932646, -0.0002752754066304225}
{0.0002763427008697242, 0.00479494830369764, 0.00025450495668093625, 0.1049686187611324, 0.0002844114808210447, 0.0034997153489917977, 0.00027420124461501315, 0.00014362705755081412, 0.0002465731800867288, 0.00024436116358052024, 0.00025332268920705004}	{0.00023543925375568698, 0.004906102354872978, 0.00023864093412901175, 0.09016114668752366, 0.00025503575005232995, 0.004336452047004298, 0.00023377078923926537, 0.00015094261138042143, 0.00021550041162077876, 0.00020057328857464346, 0.0002171688836122866}	{0.0003100794634321937, 0.004358379667540646, 0.0002895601769279991, 0.11975089895987077, 0.00032477301147056255, 0.0022884800856242692, 0.0003104428147967961, 0.00018303184250515364, 0.00028494102228839854, 0.0002734726658131838, 0.0002880028707957158}	{0.00020473637848286588, 0.004787017115486225, 0.00017140256886353364, 0.07926136860599069, 0.0001948955156178723, 0.0046528050597300025, 0.00020257209353212563, 0.00016476691435940902, 0.00018276947195096144, 0.00017753512963059737, 0.0001811868064503058}	{0.0005041207207301328, -0.003949755820573973, 0.00046020333659915584, 0.23888904216930712, 0.0004853501555554841, -0.00216328606355366, 0.0005021193965822223, 0.0003482630890565493, 0.00046618908558927676, 0.00044854347279681963, 0.00045151515904184034}	{0.00017716689034497638, -0.0002724428588577596, -0.0002505977577170445, -0.0002392528258542304, -0.32480148629045774, -0.00029646339866337424, -0.00026795860209351567, -0.0002782916657924088, 0.001249405302009247, -0.0002546895582471102, -0.000250353260217874}	{-0.0008334927885757191, 2.5307434729362627*^-6, 0.000021260615440525575, -0.000040982686893099395, 0.36739729124811094, 0.00009648512526649551, 0.00003170243954817674, 0.00004513721041039357, 0.0019398626557050648, 0.000027603075993896485, 0.000029345954211688825}	{0.00008338951228385951, 0.00005697254495750884, 0.00523366306950037, 0.0000648947038893303, -0.000054789079268042285, 0.33520696881172996, 0.00014624427973942107, 0.0000901489434531763, -0.0011532684622469031, 0.00008060178807849227, 0.00008157949398302658}	{0.0002278229946384567, 0.00020284174723805742, 0.003877550847502383, 0.00020843923099745875, 0.00011896463843314124, 0.3089414267082407, 0.00039876854656864774, 0.00020294725945964952, 0.0015808083634846128, 0.00020192785776007566, 0.0002026259937782626}
{0.00018172907819923525, 0.00036404221674710054, 0.00035315926607696604, 0.0003441663377769304, 0.08914823803697233, 0.00035297951891410245, 0.0003279211469922988, 0.000332923761118761, 0.0008447760319312735, 0.00031659077374595923, 0.00029673481811559404}	{-0.0003640280802817124, 0.00045888114308786346, 0.0004437502336468483, 0.00043177565380615425, 0.1306133858338772, 0.0004480674323561447, 0.00041451926459461897, 0.0004263386036820913, -0.00037403888752859357, 0.0004045375311869877, 0.00039033051438128495}	{-0.0004412726711440106, 0.00047856723094519667, 0.00045612079294814916, 0.00045275042523910307, 0.14115166098666032, 0.0004669546320331394, 0.00043708868871030463, 0.0004436588291821568, -0.0006590971291555379, 0.0004232248239849025, 0.00041484862786757515}	{0.0008633576554034507, 0.00023411282323016326, 0.00022786617473491053, 0.0002223837937634888, 0.04235276397801571, 0.00022159949274740977, 0.0001962388284377765, 0.00020708659443089545, 0.0019027849317543042, 0.00019907784537662754, 0.00019131604867972192}	{-0.00029343724813399297, 0.0004417318540463785, 0.00042439618945188865, 0.00041414542226438534, 0.12232854411987609, 0.000419382969125644, 0.00040248869257353433, 0.00040403113382078833, -0.00013327834755321502, 0.0003884159415302024, 0.0003749615323813703}	{-0.00045884160492499793, 0.0004999914745511513, 0.0004773196899281365, 0.0004831556391115292, 0.1556126842568317, 0.0004995378020444184, 0.0004614325531172822, 0.000463559261119126, -0.0010251377429519204, 0.00044554921112945127, 0.00043455585873430674}	{0.0013953341250510232, 0.00046264151162830674, 0.00042735742197226915, 0.0004027187609425478, 0.281836563782238, 0.000494319539141683, 0.0004381525244837759, 0.0004337246227412501, 0.0001138826256428727, 0.0004159520998472508, 0.0004017638654120069}	{0.0002775964643353865, 0.00028240504562332603, 0.005421482260914522, 0.00024274240691994593, 0.00027591920731563185, 0.0070570805912766954, 0.0002825879038914275, 0.00022720908232239695, 0.0030138447082000857, 0.00024130498128326113, 0.00022950757907501358}	{0.00025827820399535487, 0.00025455804102991004, 0.003186196661345508, 0.00024200114649759372, 0.000020139959712064493, 0.3015382797759926, 0.0007343108471336202, 0.00015982610762282275, 0.0021746167064846536, 0.00023838700621729055, 0.00023250984864674}
{0.000465718792790407, 0.0004695386838098145, 0.0009027627450245982, 0.0004450099518808846, 0.00039417414508777666, 0.09544468606425438, 0.00040900730983618256, 0.00043033874792137034, -0.000689293080150507, 0.00040038210221866367, 0.0003949256715812197}	{0.0004290566557525087, 0.00043369653332027847, 0.002406679129771849, 0.00041146748028060895, 0.0003823545825687931, 0.0761496066296282, 0.0003948595441956135, 0.0003943839300999758, 0.0003815326498652161, 0.00037267129092860644, 0.0003686079778402735}	{0.00046405792058745407, 0.0004682600574174718, 0.0008400559765381025, 0.0004410592297058315, 0.00045050124408123766, 0.09628711596838083, 0.0004358704099627704, 0.000419901823622606, -0.0007286389628724696, 0.00039886195392223263, 0.00039628944858570767}	{0.0005289992899221895, 0.0005423665238812161, -0.0026960653436048847, 0.0005083481524211653, 0.0004312582721245021, 0.14202225959048373, 0.00046485232295201374, 0.0004766279004030922, -0.002283137770774692, 0.00046017011408508733, 0.0004525346375251081}	{0.0005331696241869152, 0.0005408251022934516, -0.0030286956096108857, 0.0005058907416308828, 0.0004871739667512886, 0.1471940901882385, 0.0005237553669930025, 0.00048617161045765543, -0.0023110704347116314, 0.000460345843566518, 0.00045783814831265064}	{0.0005445408887855287, 0.0005596969492947839, -0.004614553262688721, 0.0005163792422368808, 0.0005233880592052607, 0.18916440629519138, 0.0005687014861415315, 0.0005017234195237709, -0.0012017172827566312, 0.0004763885046175375, 0.00047627908839328095}	{0.0004576110072475853, 0.00046081894825271495, 0.0012847089500495892, 0.00043451251043435555, 0.0004053246588817764, 0.09067586939823123, 0.0004241312484365681, 0.0004212583730307981, -0.0004337354748899946, 0.0003956085628258756, 0.0003900281291526443}	{0.0003508579995604787, 0.0003824644419735416, 0.0005687285690352914, 0.0003785953283872092, 0.000532820322489598, 0.27682052302216553, 0.00041612424596718496, 0.0003494440449371094, 0.003138991390219807, 0.0003144742911635834, 0.00032385981199711025}	{-0.0001553815461178431, -0.00013829968546266006, 0.0020433415167169576, -0.0001410368543466393, -0.00010338821894502366, 0.3670023957125645, -0.00008734085592350238, -0.00011775616963601913, -0.002591068472611933, -0.00010712948928051374, -0.00009108794084333921}
{0.00021290191580583147, 0.00042812209545587234, 0.0004393209590433035, 0.0004344514780994748, 0.0004124246776684339, 0.0004661504300805565, 0.06049670186786477, 0.0004115446179649884, 0.0003913658924603537, 0.00039029920276551313, 0.00037939385991579884}	{0.00044824236895837997, 0.0004981870305388056, 0.0004898301936343008, 0.0004920147942335987, 0.0004815082602789564, 0.0003922039592690583, 0.14133222194547357, 0.00046962475158393515, 0.0004629745986270484, 0.00045397065276148114, 0.0004216403206408205}	{0.00023260700345185855, 0.0004024089700339418, 0.00039571085048875496, 0.0004074388960357513, 0.0003853103138100556, 0.00033904450324977837, 0.04415147261934948, 0.00033942553582447043, 0.00036629289088636186, 0.00036493516283965126, 0.0003437784113388915}	{0.0002450704601745868, 0.0004668791125804716, 0.0004951721061907537, 0.0004642165325265366, 0.0004626087991097906, 0.0004766774620961689, 0.08943459169738477, 0.0006804467264137009, 0.0004290984056767411, 0.0004305899091128479, 0.00041866763848300443}	{0.00021618622327021782, 0.000450775801936819, 0.0004670464594492294, 0.0004477469314615087, 0.0004328221802539996, 0.0007505755897052773, 0.07138508735343914, 0.000616034071308942, 0.0004004282759637974, 0.0004103833069328745, 0.0003925247668120951}	{0.0003289854204743868, 0.0005083421537983513, 0.0005070100219882622, 0.0004938522637647913, 0.0004756572690238058, 0.0015558858417916387, 0.11587804787509394, 0.0007616607753129825, 0.00044828071964758773, 0.0004493297549675785, 0.0004307122711223496}	{-0.00029236732996486676, -0.00031755420259071943, -0.0051120983706578116, -0.0002981115137273424, -0.00040161040779915236, -0.2161857644093914, -0.0003922214520145089, -0.0002719202956910474, -0.00030870778757227527, -0.00027525205534833076, -0.00028432432260581177}	{-0.0000588925115823226, -0.00033461300458764097, -0.00031314163127513873, -0.00030609353411485365, -0.0002824776258461485, 0.003030860484210285, 0.35310433623206156, -0.002932904371670016, -0.00023744388488235874, -0.0002250564129424486, -0.00024182867355590387}	{0.0004869016017777147, 0.0005166447278661663, 0.000496943561228, 0.0005335252420489744, 0.000568701140646398, 0.0011175956452722851, 0.1482710603110411, 0.0016868092711040646, 0.00040046936386132175, 0.00044792028218771735, 0.0004250507605565167}
{0.0003372040210708707, 0.00032895127518422666, 0.0003203852117018863, 0.00028080744571695374, 0.0002627906594690301, 0.0005549467515591625, 0.0005534556206594758, 0.00035440386951528544, 0.0004316923491536791, 0.00037504876595761163, 0.00025371364944149177}	{-0.0001234458241608565, -5.076914314553566*^-6, 0.00015412369595605948, 0.00014074319821176447, 0.00012706051666524584, -0.016943660289690035, 0.3151892377514354, 0.00037130657069519196, -0.0006270258717067631, 0.00002930915923590209, 0.00010130509093033267}	{-0.000307187793523866, -0.0004310028871078694, -0.00032109671392768584, -0.00034458875719662924, -0.00043293288403237657, -0.004421895024100052, -0.34200719938018326, -0.000345128222452025, -0.00013262804439690096, -0.00034336905536622967, -0.0003251830093835033}	{0.0002541946567184198, -0.00004909164203120083, 0.00007159322955058659, 0.00005450542766230296, -9.71519616984313*^-6, -0.002092510088708266, -0.10431630253429862, 0.0015410120965191976, 0.00002359250394908993, 0.0000336862264471637, 0.00003827429925310867}	{0.000385131174282101, 0.00025288853979202097, 0.00022849416785246067, 0.00026414812272222227, 0.00021740199685842582, 0.0010140307420791212, -0.029537045603811696, 0.00028885243919245685, 0.00020945675634273492, 0.00021366456592598125, 0.00019906924426220108}	{0.0005051633207241088, 0.0005216488691336653, -0.0038147527360829154, 0.000484480845423432, 0.0003471733749706687, 0.22653914492984528, 0.0004638204331079586, 0.0004506772690505489, 0.0011831531424118147, 0.0004443550959072982, 0.0004500795691139807}	{-0.00044529634261998417, -0.00029161090365151406, -0.00032663750773587863, -0.00033715235082269583, -0.0003019401263480866, 0.0013669857876887402, -0.34825545896439425, -0.00040112230489144376, -0.00035341190424655874, -0.0003486112459987664, -0.00032402627136034835}	{0.00033213264725353827, 0.0005104172103519342, 0.00050949212662563, 0.00048626773650161336, 0.0004730340995044498, 0.001721286450160386, 0.11577313621784971, 0.0006093558179625874, 0.00044885882424931665, 0.0004484165349588253, 0.0004362817992658516}	{-0.00022313185600059455, -0.00023775153777750349, -0.0004883090122829829, -0.00023349781795393144, -0.00029276725549607177, 0.37611069669327213, -0.000051284940938527376, -0.00016018591944341843, -0.001393691504908386, -0.0001757904294737954, -0.00016154145223067233}
{-0.0011452659689747248, -0.00026753064976297236, -0.00024010817457629794, -0.0002508377764956053, -0.13537570820147402, -0.00027109515846049576, -0.0002680849320113772, -0.0002578546296618865, -0.0011745064212866298, -0.00024021015644820124, -0.00023480768853251997}	{0.0000662121922829458, 0.00005317480571297583, 0.0026804308842411136, 0.00008495330344370382, 0.00020456742858554537, -0.0669284110753338, 0.00019059180248448608, 0.0000708402648358817, 0.0005599452910389624, 0.00004630573286892416, 0.00003738997534272474}	{0.00041117367620050453, 0.00040400101612679117, 0.0030615960685197023, 0.00038500925145142626, 0.00042280396456345626, 0.06680962499901195, 0.0004049541637675776, 0.0003691207286482764, 0.0009099669507374205, 0.0003549206579563962, 0.0003478836239005365}	{0.0003444127645818028, 0.0003167673814487918, 0.0013607702635914786, 0.00033193493221431544, 0.00031440594910475255, 0.28450733536668865, 0.0003884052020425579, 0.000308168853977098, 0.0030062239839069144, 0.0002996817875169726, 0.0002957671042831175}	{-0.0003650886704916206, -0.00035729006349421186, -0.00546284979282937, -0.00034813634445727464, -0.0003632286096823804, 0.3882069416140709, -0.0002599725509148065, -0.00030402582377938843, 0.002450428628032062, -0.00029123847083544575, -0.00027072579950696067}	{0.00028499791075045644, 0.0003061230775279645, 0.002340834159005728, 0.0002796013703237592, 0.00024335477533870596, 0.2929334637834276, 0.0003378183791652362, 0.0002748665155412829, 0.002690157391346032, 0.00026286507933867125, 0.0002671012287447717}	{0.00040120788746968877, 0.00043085072047829354, -0.0007392090452991662, 0.00039573015687975344, 0.0004200848480882579, 0.2646652376939284, 0.0004618368355282316, 0.00039452362187810536, 0.003066300528739218, 0.00036046124359639974, 0.0003674693134053346}	{-0.00002281090899042262, -2.074528725398788*^-6, 0.0047865301855470254, -0.000017350142671210395, 0.000028509254939224995, 0.34855188805379406, 0.00007698457477102854, -9.786677331053526*^-6, -0.002398551485325715, -6.882095106187398*^-6, 0.000010734591635126875}	{-0.0003499101497876793, -0.0003774206385055829, -0.005338253302405642, -0.00021209759027251558, -0.000990881990781577, 0.3879624076009651, 0.0002905251912368372, -0.0003878444004995236, 0.002334226453505302, -0.0002727038762428944, -0.00027221538598443487}
{0.0002751801103017305, 0.0002882435457632716, 0.0026354815190299525, 0.00024648898318890974, 0.00016134465019708208, 0.29570350496804565, 0.00024796923229641535, 0.00029166690717839067, 0.0025519116870649453, 0.00025235087004940045, 0.00026313751915272714}	{-0.00020499317805900834, -0.0002251097463768656, -0.000229112252934014, -0.00023903025591244368, -0.00010212787948590239, -0.0016612888187726726, 0.34579376505285514, 0.0012037075408806103, -0.00017910266535576836, -0.0002166078974323112, -0.00020422040116476446}	{-0.0009696277936270942, -0.00013973424539865775, -0.00016182466099952768, -0.00017789926582819528, 0.3858771908566184, -0.000064561406212274, -0.00010213668667473828, -0.00008621672876155284, 0.0007470223463878743, -0.0000916567095822286, -0.00010968030689186394}	{0.0005478719377013174, 0.0005251866862043998, -0.0032038671118794692, 0.0005166610781317314, 0.0005096374307398531, 0.15002690460622953, 0.0005254902809010147, 0.0004893750558980503, -0.002318249762946143, 0.0004698137215073273, 0.000456987368416214}	{-0.0002597305329788718, 0.0005395751156716977, 0.0005148893470534369, 0.0004927233137882243, 0.18399743451733538, 0.0005007663781920588, 0.0005049810877076853, 0.0004987820284570109, -0.0015058010740259824, 0.0004774830861418829, 0.0004630937502679179}	{0.000284459682878802, 0.0003041174439013696, 0.002426669617480579, 0.0002908352781786106, 0.00031380437029135497, 0.29375956005168147, 0.00037664679974066276, 0.00026607841835926113, 0.0026492190071424056, 0.0002580051051669656, 0.0002626620207428251}	{0.0005143885528638289, -0.00035731224360515193, -0.0003684425120719577, -0.00040016600677659554, 0.40727800603007536, -0.00025584045344426745, -0.0002986676897849488, -0.0002841496491153393, -0.002297848985590419, -0.00028998235189662473, -0.00028123200449965734}	{0.00029473670095479126, 0.00033064769234223334, 0.001911505845928421, 0.0003644443005366697, 0.0006575647777527579, 0.2890016495157816, 0.0003266121019659949, 0.00031221083471106843, 0.0028664451338946298, 0.00026282174475457355, 0.0002778505218102687}	{-0.0008785533377842676, -0.00009604541887280136, -0.00009046135986012386, -0.00008460063565902394, -0.3883002384640811, -0.00015840054418765715, -0.00010541764000394255, -0.00011841959279935217, 0.0005562626088532968, -0.00010983211404837667, -0.000097508077037908}
